Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,440,0.73333340883255,2.0449771881103516,12.579999923706055,1.0561681985855103,1,3.0,0.6818181818181818,,,,,,,,Inactive
Ch 31,427,0.7116667628288269,0.6900233626365662,13.329999923706055,1.042074203491211,3,3.3333333333333335,2.3419203747072603,,,,,,,,Inactive
Ch 41,451,0.7516667246818542,3.7744345664978027,15.0,0.9758301377296448,4,3.0,2.6607538802660753,,,,,,,,Inactive
Ch 51,414,0.690000057220459,0.5055314302444458,14.90999984741211,0.9769106507301331,3,3.0,2.1739130434782608,,,,,,,,Inactive
Ch 61,460,0.7666667699813843,2.5998694896698,15.40999984741211,1.0170820951461792,0,,0.0,,,,,,,,Inactive
Ch 71,462,0.7700001001358032,0.025930743664503098,-15.90999984741211,1.0376189947128296,0,,0.0,,,,,,,,Inactive
Ch 12,629,1.0483334064483643,11.028489112854004,15.079999923706055,0.9606204628944397,6,3.0,2.8616852146263914,,,,,,,,Inactive
Ch 22,412,0.68666672706604,-2.7573301792144775,-13.869999885559082,0.9760725498199463,3,3.0,2.1844660194174756,,,,,,,,Inactive
Ch 32,468,0.7800000905990601,1.6973718404769897,13.90999984741211,1.0310449600219727,0,,0.0,,,,,,,,Inactive
Ch 42,437,0.7283334136009216,-3.837345600128174,-14.0,0.9733385443687439,1,3.0,0.6864988558352403,,,,,,,,Inactive
Ch 52,494,0.8233334422111511,0.21277335286140442,13.829999923706055,1.0265097618103027,2,9.0,3.643724696356275,,,,,,,,Inactive
Ch 62,449,0.7483333945274353,-5.9046101570129395,-15.75,0.9948863387107849,2,3.0,1.3363028953229399,,,,,,,,Inactive
Ch 72,406,0.6766667366027832,1.6918964385986328,14.5,1.054182529449463,3,3.3333333333333335,2.4630541871921183,,,,,,,,Inactive
Ch 82,511,0.8516667485237122,4.545753479003906,15.0,1.0401145219802856,4,3.0,2.3483365949119372,,,,,,,,Inactive
Ch 13,475,0.7916667461395264,6.122905254364014,16.079999923706055,1.0022404193878174,5,3.0,3.1578947368421053,,,,,,,,Inactive
Ch 23,461,0.7683334350585938,4.148980140686035,17.079999923706055,0.9274255037307739,2,3.5,1.5184381778741864,,,,,,,,Inactive
