Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,342,0.5700000524520874,0.9061404466629028,2.4200000762939453,0.9619947671890259,0,,0.0,1.9482758620689655,0.0,0.2957612256486409,0.12415189392002787,0,-1.2124054880301063,0.7378280394144187,Connector
Ch 31,344,0.5733333826065063,0.2081395536661148,1.25,1.0530086755752563,2,3.0,1.744186046511628,2.0,0.0,0.29359011845050254,0.11749202638433916,1,0.6276073449949482,0.7468765871469897,Connector
Ch 41,410,0.6833333969116211,0.5470244884490967,1.4600000381469727,1.1813751459121704,3,3.0,2.195121951219512,1.9655172413793103,0.012099213551119179,0.3029703696028383,0.1458315520205046,3,-1.9112436582118482,0.7463367101090577,Connector
Ch 51,329,0.5483334064483643,-0.5786018371582031,-1.0800000429153442,1.195826530456543,1,3.0,0.911854103343465,1.9827586206896552,0.0,0.2959087426596318,0.12000147937216192,1,-2.1473326092589122,0.7398173554006406,Connector
Ch 61,347,0.5783333778381348,0.2513256371021271,0.41999998688697815,1.1124228239059448,1,3.0,0.8645533141210375,1.9827586206896552,0.0,0.2950310790940964,0.1295089670690245,1,-0.5339770647245996,0.7427801114519403,Connector
Ch 71,372,0.6200000643730164,-0.18696238100528717,-0.5799999833106995,0.8946008682250977,0,,0.0,2.0,0.0013611615245009076,0.3020426084076215,0.12669544949996098,2,-0.9125734951212072,0.7492270562520935,Connector
Ch 12,384,0.64000004529953,0.2939583361148834,0.625,1.030703067779541,0,,0.0,1.9827586206896552,0.004839685420447671,0.3059759489314682,0.13180121070081277,3,0.7357330684214022,0.747522708513225,Connector
Ch 22,321,0.5350000262260437,0.22822432219982147,1.5,1.00300133228302,0,,0.0,1.9655172413793103,0.0,0.30514000038025324,0.12029455671206801,3,-0.466144137122717,0.7460805405342059,Connector
Ch 32,362,0.6033334136009216,0.6262431144714355,1.6699999570846558,0.9005430936813354,0,,0.0,1.9827586206896552,0.00030248033877797946,0.2937492696682592,0.12214197545469441,2,-0.20644298240314635,0.7431799893301289,Connector
Ch 42,319,0.5316666960716248,0.3992789685726166,1.1699999570846558,1.0140718221664429,1,3.0,0.9404388714733543,1.9482758620689655,0.0,0.3040961466457745,0.12877880094263308,2,-0.7972169429115937,0.7471372715245713,Connector
Ch 52,341,0.5683333873748779,0.39442816376686096,1.6699999570846558,1.1364666223526,0,,0.0,1.9482758620689655,0.0,0.2981165429477647,0.11766188368554976,3,0.2527212981265951,0.7480247351057534,Connector
Ch 62,361,0.6016667485237122,0.5786426663398743,1.6699999570846558,1.0616661310195923,1,3.0,0.8310249307479225,1.9827586206896552,0.0,0.2974264588918774,0.124330470020031,3,-1.5231075176725917,0.7441538639074303,Connector
Ch 72,322,0.536666750907898,0.23496897518634796,0.375,1.012080192565918,0,,0.0,2.0,0.0,0.30323491675005415,0.13143241231374866,2,-0.7359516535662877,0.7485503455781196,Connector
Ch 82,338,0.5633333921432495,0.7825146913528442,1.2100000381469727,1.0379959344863892,1,3.0,0.8875739644970414,1.9482758620689655,0.0,0.29035118870860865,0.12409791035908012,0,-0.8065520069769077,0.7449651886631757,Connector
Ch 13,376,0.6266667246818542,0.5454787611961365,0.03999999910593033,1.0006641149520874,1,3.0,0.7978723404255319,1.9827586206896552,0.0024198427102238356,0.2944172263343643,0.12220710459297326,1,0.06024650185098155,0.7484703981596521,Connector
