Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,874,0.7283333539962769,0.22291767597198486,12.829999923706055,1.0126818418502808,7,4.571428571428571,3.6613272311212817,,,,,,,,Inactive
Ch 31,899,0.7491666674613953,-0.9830033183097839,-15.829999923706055,1.0544980764389038,5,4.0,2.2246941045606228,,,,,,,,Inactive
Ch 41,975,0.8125,1.9145539999008179,16.0,0.9996651411056519,4,4.5,1.8461538461538463,,,,,,,,Inactive
Ch 51,911,0.7591666579246521,-0.45713505148887634,-16.0,1.0442428588867188,4,3.25,1.4270032930845227,,,,,,,,Inactive
Ch 61,944,0.7866666913032532,2.276726722717285,16.0,1.0081558227539062,4,5.0,2.11864406779661,,,,,,,,Inactive
Ch 71,960,0.800000011920929,-1.1598228216171265,-17.5,1.0475212335586548,10,3.4,3.5416666666666665,,,,,,,,Inactive
Ch 12,1200,1.0,10.28461742401123,15.15999984741211,1.0225443840026855,12,3.3333333333333335,3.3333333333333335,,,,,,,,Inactive
Ch 22,892,0.7433333396911621,-3.3154149055480957,-17.5,1.024199366569519,7,3.5714285714285716,2.8026905829596416,,,,,,,,Inactive
Ch 32,861,0.7174999713897705,1.8177236318588257,15.40999984741211,0.9862360954284668,8,4.125,3.8327526132404177,,,,,,,,Inactive
Ch 42,988,0.8233333230018616,-2.9741902351379395,-14.5,1.0808335542678833,8,4.125,3.340080971659919,,,,,,,,Inactive
Ch 52,908,0.7566666603088379,-0.21425117552280426,-14.90999984741211,1.0769925117492676,5,4.4,2.4229074889867843,,,,,,,,Inactive
Ch 62,947,0.7891666889190674,-7.237613677978516,-17.25,1.0859839916229248,5,5.2,2.7455121436114043,,,,,,,,Inactive
Ch 72,877,0.7308333516120911,0.949224591255188,14.90999984741211,1.0253046751022339,7,3.5714285714285716,2.8506271379703536,,,,,,,,Inactive
Ch 82,876,0.7300000190734863,4.9832305908203125,16.079999923706055,1.0035569667816162,9,4.0,4.10958904109589,,,,,,,,Inactive
Ch 13,1048,0.8733333349227905,4.287709712982178,16.65999984741211,1.0726102590560913,10,4.3,4.103053435114504,,,,,,,,Inactive
Ch 23,913,0.7608333230018616,2.180919885635376,19.329999923706055,1.1148991584777832,6,5.833333333333333,3.8335158817086525,,,,,,,,Inactive
Ch 33,958,0.7983333468437195,-2.9150524139404297,-16.40999984741211,1.0859260559082031,7,3.5714285714285716,2.6096033402922756,,,,,,,,Inactive
Ch 43,879,0.7325000166893005,-1.6134812831878662,-14.329999923706055,1.069109320640564,8,4.0,3.6405005688282137,,,,,,,,Inactive
Ch 53,1015,0.8458333611488342,9.208108901977539,16.65999984741211,1.0148004293441772,10,3.1,3.054187192118227,,,,,,,,Inactive
Ch 63,906,0.7549999952316284,-3.653609275817871,-14.15999984741211,1.057437777519226,6,6.166666666666667,4.083885209713024,,,,,,,,Inactive
Ch 73,924,0.7699999809265137,4.681471824645996,15.90999984741211,1.0501047372817993,4,4.0,1.7316017316017316,,,,,,,,Inactive
Ch 83,942,0.7850000262260437,5.727016925811768,16.65999984741211,0.9891143441200256,5,3.4,1.8046709129511678,,,,,,,,Inactive
Ch 14,943,0.7858333587646484,-5.161685943603516,-20.65999984741211,1.033023715019226,9,4.444444444444445,4.241781548250265,,,,,,,,Inactive
Ch 24,1000,0.8333333134651184,10.190940856933594,18.579999923706055,1.0587153434753418,4,3.0,1.2,,,,,,,,Inactive
Ch 34,1244,1.0366666316986084,13.01622200012207,18.0,1.046851634979248,10,3.4,2.7331189710610935,,,,,,,,Inactive
Ch 44,840,0.699999988079071,-1.714571475982666,-17.579999923706055,1.0276678800582886,8,3.25,3.0952380952380953,,,,,,,,Inactive
Ch 54,994,0.82833331823349,7.188591957092285,17.079999923706055,1.013137698173523,10,4.0,4.0241448692152915,,,,,,,,Inactive
Ch 64,829,0.690833330154419,2.8086609840393066,15.90999984741211,0.9786079525947571,3,5.666666666666667,2.0506634499396865,,,,,,,,Inactive
Ch 74,788,0.6566666960716248,-7.222055912017822,-15.0,1.0819827318191528,8,3.375,3.4263959390862944,,,,,,,,Inactive
Ch 84,826,0.6883333325386047,4.28249454498291,21.739999771118164,0.967789888381958,3,3.3333333333333335,1.2106537530266344,,,,,,,,Inactive
Ch 15,0,0.0,,,,0,,0.0,,,,,,,,Inactive
Ch 25,878,0.7316666841506958,3.3363211154937744,20.579999923706055,1.0336178541183472,3,3.3333333333333335,1.1389521640091116,,,,,,,,Inactive
Ch 35,863,0.7191666960716248,5.82327938079834,24.65999984741211,1.0691226720809937,8,3.375,3.1286210892236386,,,,,,,,Inactive
Ch 45,915,0.762499988079071,9.182940483093262,19.15999984741211,1.0715073347091675,5,3.2,1.7486338797814207,,,,,,,,Inactive
Ch 55,764,0.6366666555404663,-4.109397888183594,-9.829999923706055,0.9888222217559814,2,3.0,0.7853403141361256,,,,,,,,Inactive
