Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,484,0.4033333361148834,0.1697520613670349,0.8299999833106995,1.0242081880569458,0,,0.0,2.0,0.0,0.2921110028046996,0.13954460725356851,0,-0.4989368810424072,0.7473255184603157,Connector
Ch 31,528,0.4399999976158142,0.3971211910247803,1.375,1.1107679605484009,0,,0.0,1.9310344827586206,0.00030248033877797946,0.2888188015692427,0.12898155531016942,2,-0.6005525629652004,0.7444423694673378,Connector
Ch 41,539,0.4491666555404663,0.5306122303009033,1.6699999570846558,1.2029471397399902,3,3.0,1.6697588126159555,1.9827586206896552,0.0018148820326678767,0.29466427166463227,0.1405253752181182,0,-0.6171853321271498,0.7458258431111576,Connector
Ch 51,585,0.48750001192092896,0.08535045385360718,1.25,1.1455817222595215,0,,0.0,2.0,0.013914095583787055,0.2863646054599295,0.14032981691894655,0,-1.0701537487163657,0.7436394205197849,Connector
Ch 61,511,0.4258333444595337,-0.6366927623748779,-1.5800000429153442,1.1327906847000122,1,3.0,0.5870841487279843,1.9827586206896552,0.0006049606775559589,0.28578765480308665,0.129513700290533,1,-0.618336927252154,0.7418278131557212,Connector
Ch 71,554,0.46166667342185974,0.7124006748199463,1.4199999570846558,1.3183557987213135,1,3.0,0.5415162454873645,1.9827586206896552,0.019661222020568664,0.27868359251348707,0.1237794446944726,3,-0.6907824611842867,0.7456558969620461,Connector
Ch 12,515,0.42916667461395264,1.3696504831314087,2.9200000762939453,1.0749505758285522,2,3.0,1.1650485436893203,1.9827586206896552,0.0,0.286962829123967,0.12994489017033523,2,-1.530779842021391,0.7419165229864091,Connector
Ch 22,616,0.5133333206176758,0.6923863887786865,2.3350000381469727,1.3694177865982056,2,3.5,1.1363636363636365,1.9827586206896552,0.02238354506957048,0.2859762434097896,0.12471440628907735,2,0.07516239867050367,0.7402904764431397,Connector
Ch 32,478,0.398333340883255,0.7602092027664185,2.0399999618530273,0.9823669791221619,1,3.0,0.6276150627615062,1.9655172413793103,0.0,0.28941324802073215,0.12821248459518178,0,-0.22521290620705808,0.742941327366603,Connector
Ch 42,467,0.3891666531562805,0.4647752046585083,2.3299999237060547,1.0561941862106323,1,3.0,0.6423982869379015,1.9310344827586206,0.0,0.28798949787700584,0.12894279059291636,0,-1.489578823178912,0.7492565859812172,Connector
Ch 52,491,0.4091666638851166,0.4750915765762329,1.5,1.1059596538543701,1,3.0,0.6109979633401221,2.0,0.0,0.2720709937433795,0.12022088905116221,3,-0.5495154972699967,0.7429202603537617,Connector
Ch 62,541,0.4508333206176758,-0.10789277404546738,1.3300000429153442,1.1505579948425293,2,3.0,1.1090573012939002,1.9655172413793103,0.002117362371445856,0.28264143521820956,0.11928683008450722,0,0.3464325922936156,0.734846598170862,Connector
Ch 72,486,0.4050000011920929,0.4742797613143921,1.9600000381469727,1.0577479600906372,0,,0.0,1.9827586206896552,0.00030248033877797946,0.27899661095089795,0.12562948895421686,1,-0.7841896396165497,0.7353172143205824,Connector
Ch 82,541,0.4508333206176758,1.2078558206558228,2.8299999237060547,1.2611641883850098,1,3.0,0.5545286506469501,2.0,0.01058681185722928,0.2741184068966394,0.12209987058816277,1,-1.687767263974681,0.7410131510854674,Connector
