Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,3270,4.038034439086914,5.54266881942749,-27.65999984741211,8.225828170776367,74,42.189189189189186,95.47400611620796,1.7241379310344827,0.0,0.8731927825011246,0.14559193582387442,0,0.11492409598841749,0.4998838580860172,Peripheral
Ch 31,3266,4.033094882965088,5.134369850158691,-27.079999923706055,8.037520408630371,82,38.609756097560975,96.93815064298836,1.7241379310344827,0.0,0.8786769159268145,0.146305254196434,1,0.024850011687897675,0.49894169683756684,Peripheral
Ch 41,3263,4.029390335083008,4.301438808441162,-24.579999923706055,8.330248832702637,78,40.23076923076923,96.16916947594238,1.7241379310344827,0.0,0.8549250155421615,0.13988899189505483,1,1.2474681486412833,0.49978453773517795,Peripheral
Ch 51,3265,4.031859874725342,3.9339969158172607,-25.329999923706055,8.169785499572754,77,40.857142857142854,96.3552833078101,1.7241379310344827,0.0,0.8498058628267147,0.13801557157584785,1,-0.1332398349681735,0.49995760965951175,Peripheral
Ch 61,3171,3.9157819747924805,2.047335386276245,-26.15999984741211,8.33657455444336,70,43.18571428571428,95.33270261747083,1.7241379310344827,0.0,0.8485783558167259,0.14005758293288706,1,0.5027772093010285,0.49969137166639166,Peripheral
Ch 71,3241,4.002223014831543,3.0320613384246826,-26.829999923706055,8.538108825683594,76,41.03947368421053,96.23572971305153,1.7241379310344827,0.0,0.863519657592872,0.14367809496653544,1,0.022616692935947317,0.49991756682535093,Peripheral
Ch 12,3079,3.802173614501953,9.709578514099121,-26.829999923706055,8.19343090057373,78,38.64102564102564,97.88892497564144,1.7241379310344827,0.0,0.8572304114916928,0.14234542012632043,0,0.3923176963723335,0.49843545770649866,Peripheral
Ch 22,3110,3.8404548168182373,5.071186542510986,-28.829999923706055,8.278944969177246,75,40.18666666666667,96.91318327974277,1.7241379310344827,0.0,0.8515547578561717,0.1403872987712322,0,0.29301983473157917,0.49824612026481996,Peripheral
Ch 32,3205,3.9577677249908447,6.188664436340332,-25.90999984741211,8.27855110168457,78,39.82051282051282,96.91107644305772,1.7241379310344827,0.0,0.8448691730723435,0.13773104499717911,0,0.2228097481928116,0.4980545120458917,Peripheral
Ch 42,3173,3.9182517528533936,1.8156921863555908,-25.739999771118164,8.203696250915527,77,39.675324675324674,96.28112196659313,1.7241379310344827,0.0,0.843351349095504,0.13781706542408903,1,0.6954094180357175,0.49947155390143627,Peripheral
