Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,890,1.0990369319915771,-1.697314739227295,-5.079999923706055,1.1731045246124268,11,3.3636363636363638,4.157303370786517,2.0,0.04930429522081065,0.28561594450694106,0.13674310656604244,0,-1.176537290487413,0.6582089428502617,Connector
Ch 31,321,0.39639419317245483,-2.067694902420044,-3.6700000762939453,0.8791709542274475,2,3.0,1.8691588785046727,1.9310344827586206,0.0,0.30518039160413785,0.13033236290083994,2,0.16450304086298465,0.657921104447815,Connector
Ch 41,337,0.4161521792411804,0.11406555771827698,-2.0,0.952781617641449,2,3.0,1.7804154302670623,1.9310344827586206,0.0018148820326678767,0.30221215462389994,0.13072005380849375,2,-0.5809381164193922,0.6579029595150697,Connector
Ch 51,335,0.4136824309825897,-0.6214924454689026,-2.5799999237060547,0.8917850255966187,1,3.0,0.8955223880597015,1.8275862068965516,0.0,0.31039057937254244,0.1280024720137696,1,-0.7168533150803862,0.6533333420810453,Connector
Ch 61,336,0.4149172902107239,-1.2541369199752808,-1.375,1.024221658706665,1,3.0,0.8928571428571428,1.8620689655172413,0.0006049606775559589,0.3006066443851891,0.1252083784704628,1,-0.9446033964675874,0.6593902051715637,Connector
Ch 71,345,0.4260311424732208,-0.1951015740633011,-2.6700000762939453,1.0686326026916504,0,,0.0,1.8620689655172413,0.0009074410163339384,0.2981270570969347,0.12222509629988147,1,-1.6830021347420914,0.6603716580318032,Connector
Ch 12,331,0.4087429344654083,-0.6325680017471313,-1.25,0.9700023531913757,1,3.0,0.906344410876133,1.8620689655172413,0.0,0.3005305261547853,0.1258389272902375,2,-2.4939460418701613,0.6655584061200438,Connector
Ch 22,335,0.4136824309825897,1.3741191625595093,-1.3300000429153442,1.0674108266830444,0,,0.0,1.8103448275862069,0.0,0.3182988720633142,0.12216731046646061,0,0.5002115738974845,0.6650436671818646,Connector
Ch 32,374,0.46184247732162476,1.813930630683899,0.17000000178813934,0.9579562544822693,3,3.0,2.406417112299465,1.9137931034482758,0.0009074410163339384,0.31238958619857454,0.1393382188973107,2,-0.2473319472115247,0.6616156058016877,Connector
Ch 42,320,0.3951593339443207,-0.5701876282691956,-2.125,0.9176760315895081,0,,0.0,1.8275862068965516,0.0,0.32127532344400445,0.14152069038710235,0,-1.5854549164639797,0.6432448852773388,Connector
Ch 52,322,0.3976290822029114,-5.024813652038574,-5.960000038146973,1.0838696956634521,0,,0.0,1.879310344827586,0.0,0.2990742503340074,0.12388330100279292,1,0.5593220867561349,0.6552165572531141,Connector
Ch 62,337,0.4161521792411804,-2.009970188140869,-5.579999923706055,0.8849551677703857,0,,0.0,1.7758620689655171,0.0006049606775559589,0.3056527809268659,0.13180730441842656,1,-2.271912268580614,0.6635726524975019,Connector
Ch 72,338,0.4173870384693146,1.8192311525344849,-1.0449999570846558,1.0426955223083496,0,,0.0,1.9310344827586206,0.0,0.3030413675698729,0.12383718561864802,2,1.88926259784559,0.6502587345769123,Connector Hub
Ch 82,380,0.46925172209739685,0.4674999713897705,-1.5,0.9880132079124451,1,3.0,0.7894736842105263,1.9137931034482758,0.006957047791893527,0.3025411396657122,0.12433544618180577,1,0.8814765102196075,0.6577499030033689,Connector
Ch 13,334,0.4124475419521332,0.5975749492645264,-0.625,1.0109020471572876,0,,0.0,1.879310344827586,0.0,0.310041628678139,0.1225901390624817,2,0.8185493427673903,0.6614305834252816,Connector
Ch 23,343,0.4235614240169525,-2.2350146770477295,-2.5799999237060547,1.040358543395996,1,3.0,0.8746355685131195,1.8275862068965516,0.0006049606775559589,0.2967678679684745,0.11168150664990131,1,0.8855740416245957,0.6526062809350451,Connector
Ch 33,326,0.4025685787200928,1.6075150966644287,0.875,1.024838924407959,1,3.0,0.9202453987730062,1.896551724137931,0.0,0.31126574152334,0.12265682168912961,1,0.7639106245560996,0.6659324133065672,Connector
Ch 43,308,0.3803408741950989,-0.16714298725128174,-2.0,1.0027300119400024,0,,0.0,1.8103448275862069,0.0,0.31645129059407173,0.13124981343397613,2,-1.406198289865467,0.6627084781622351,Connector
Ch 53,332,0.40997782349586487,0.20909614861011505,-1.5800000429153442,1.0128201246261597,0,,0.0,1.7413793103448276,0.0,0.31158752147216284,0.11561972598058631,1,-1.318090545553867,0.6504216826314275,Connector
Ch 63,340,0.4198567867279053,-3.400735378265381,-4.335000038146973,1.0127218961715698,0,,0.0,1.793103448275862,0.0,0.32118345281454014,0.12744238208107445,1,0.06535998030347422,0.6617477532682426,Connector
Ch 73,374,0.46184247732162476,-2.031952142715454,-2.9200000762939453,1.010502576828003,0,,0.0,1.8620689655172413,0.00574712643678161,0.2932272605380309,0.11523742499523378,2,0.1595053507926681,0.6559137537254216,Connector
Ch 83,386,0.47666093707084656,1.8217874765396118,-1.9149999618530273,0.9900761246681213,0,,0.0,1.896551724137931,0.00544464609800363,0.31408475997888163,0.14189499732298752,2,-0.7220912646535456,0.665801899139222,Connector
Ch 14,346,0.42726603150367737,-0.9828900694847107,-3.4200000762939453,1.0591795444488525,0,,0.0,1.879310344827586,0.00030248033877797946,0.2875521387423931,0.12086134044171251,0,-1.4016507465169585,0.6594863639278434,Connector
Ch 24,363,0.4482588768005371,-1.1788157224655151,-1.6699999570846558,0.9950570464134216,0,,0.0,1.9310344827586206,0.0006049606775559589,0.30019656173634174,0.13144052414626042,0,-0.989228232256602,0.6570856107220807,Connector
Ch 34,310,0.3828105926513672,0.6868066191673279,-1.0399999618530273,1.057289719581604,1,3.0,0.967741935483871,1.8103448275862069,0.0,0.310002897348568,0.11313968621712465,2,0.24570402076569844,0.664444910331554,Connector
