Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,6990,4.659999847412109,-8.258514404296875,-29.329999923706055,8.757539749145508,160,42.05,96.25178826895565,1.7241379310344827,0.0,0.8582311804570887,0.1453208465111792,0,0.2061948734995074,0.4998601288187354,Peripheral
Ch 31,6982,4.654666900634766,-7.4739227294921875,-28.15999984741211,8.513548851013184,162,41.49382716049383,96.27613864222286,1.7241379310344827,0.0,0.8628144893557113,0.14540569991052013,0,0.3824648282603537,0.4999346272551457,Peripheral
Ch 41,6978,4.6519999504089355,-6.354184627532959,-25.079999923706055,8.530574798583984,155,42.193548387096776,93.7231298366294,1.7241379310344827,0.0,0.8473110738814951,0.14213476574008072,1,0.7787472514377567,0.49965063629723405,Peripheral
Ch 51,6984,4.656000137329102,-5.8084716796875,-25.239999771118164,8.585504531860352,156,42.51923076923077,94.9742268041237,1.7241379310344827,0.0,0.8353596524099618,0.13803701214979885,1,-0.35664372425406704,0.4999995631119887,Peripheral
Ch 61,7093,4.72866678237915,-8.045997619628906,-26.329999923706055,8.772106170654297,149,44.77181208053691,94.05047229663049,1.7241379310344827,0.0,0.8483324968233741,0.14364834168090151,1,0.6821557204821633,0.4995539770242251,Peripheral
Ch 71,7245,4.829999923706055,-9.181747436523438,-27.90999984741211,8.760941505432129,155,44.806451612903224,95.8592132505176,1.7241379310344827,0.0,0.863157102148679,0.1475514004233543,1,0.192965023607925,0.49994620766548825,Peripheral
Ch 12,6679,4.452666759490967,-3.547207832336426,-28.489999771118164,8.367310523986816,159,40.534591194968556,96.49648150920797,1.7241379310344827,0.0,0.8455690158843245,0.14177292591354002,0,0.5300714600900075,0.49845825748575256,Peripheral
Ch 22,7053,4.702000141143799,-7.554310321807861,-29.65999984741211,8.543190002441406,158,43.24050632911393,96.86658159648377,1.7241379310344827,0.0,0.8344754575948312,0.1380588471457162,0,0.4873071899082041,0.49778990045506344,Peripheral
Ch 32,7007,4.671333312988281,-2.749098062515259,-27.079999923706055,8.302140235900879,162,41.26543209876543,95.4045954045954,1.7241379310344827,0.0,0.8215305382627558,0.13456336874587713,0,0.10838433003113669,0.4978855211750023,Peripheral
Ch 42,6948,4.631999969482422,-9.24656867980957,-26.079999923706055,8.643985748291016,151,43.271523178807946,94.04145077720207,1.7241379310344827,0.0,0.8418249226597282,0.14120211341377092,1,0.7793513885958281,0.4992466603278469,Peripheral
Ch 52,6804,4.535999774932861,-8.430274963378906,-26.15999984741211,8.414725303649902,156,41.31410256410256,94.72369194591417,1.7241379310344827,0.0,0.8453698895553414,0.14079570937466945,1,0.23807154843919706,0.4999812045846139,Peripheral
Ch 62,7408,4.938666820526123,-10.838377952575684,-24.989999771118164,9.311692237854004,150,46.58,94.31695464362852,1.7241379310344827,0.0,0.7981773057153697,0.13164917626608147,1,-0.8489609682645064,0.4976855432377396,Peripheral
Ch 72,7038,4.691999912261963,-8.27186107635498,-26.739999771118164,8.6776762008667,160,41.8625,95.16908212560386,1.7241379310344827,0.0,0.8619876827846339,0.1466503344159537,1,0.6661459495238743,0.4999933729407038,Peripheral
Ch 82,7041,4.693999767303467,-8.000617027282715,-28.239999771118164,8.591093063354492,162,41.80864197530864,96.19372248260191,1.7241379310344827,0.0,0.8651553380732551,0.1477324284425902,1,-0.17993870755867683,0.49957539809088614,Peripheral
Ch 13,6712,4.474666595458984,-5.789849281311035,-27.829999923706055,8.323366165161133,156,41.13461538461539,95.60488676996425,1.7241379310344827,0.0,0.8593912814621614,0.14489595305934005,0,0.33944014210773915,0.49984520398501675,Peripheral
Ch 23,6839,4.559333324432373,-6.44490909576416,-29.40999984741211,8.4344482421875,161,40.807453416149066,96.0666764146805,1.7241379310344827,0.0,0.8376707880264204,0.13887050068703158,0,0.49754772926368157,0.49811406329739205,Peripheral
Ch 33,7245,4.829999923706055,-10.289450645446777,-28.90999984741211,8.842222213745117,164,42.72560975609756,96.71497584541063,1.7241379310344827,0.0,0.8599215827250021,0.14600504029481687,0,-0.0737537883437026,0.4999987749303527,Peripheral
