Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,3127,2.0846667289733887,-3.6143970489501953,-6.75,1.3964223861694336,165,5.806060606060606,30.636392708666456,2.0,0.0009074410163339384,0.2849148291450068,0.14269055219028334,0,0.5904807747511183,0.822066481365178,Kinless
Ch 31,508,0.3386666774749756,1.6529920101165771,-2.4149999618530273,1.0129263401031494,0,,0.0,1.9655172413793103,0.001058681185722928,0.26966866688302255,0.12319783826851705,3,-1.3490050858830165,0.8212926755574669,Kinless
Ch 41,492,0.328000009059906,0.6679471135139465,-2.75,1.0376087427139282,2,3.0,1.2195121951219512,1.9482758620689655,0.0,0.2639343811295968,0.12090615597118688,3,-0.45896889655779605,0.8231063799508869,Kinless
Ch 51,475,0.3166666626930237,1.187368392944336,-3.0799999237060547,1.0192816257476807,0,,0.0,1.8620689655172413,0.0,0.2776720837926313,0.12201585144985545,5,-0.21943716195618815,0.8159799761512136,Kinless
Ch 61,503,0.33533334732055664,-1.7731809616088867,-2.5,0.978962779045105,0,,0.0,1.9137931034482758,0.0,0.2701849272602667,0.12487881271923977,4,-1.5126105706022015,0.8089670877106886,Kinless
Ch 71,591,0.39399999380111694,-2.8677327632904053,-6.420000076293945,1.0662574768066406,0,,0.0,1.879310344827586,0.024803387779794316,0.25704207180753974,0.109005279034536,2,-1.187116438035734,0.8183191049549341,Kinless
Ch 12,519,0.34599998593330383,-0.45568394660949707,-2.9200000762939453,0.9624334573745728,0,,0.0,1.879310344827586,0.010284331518451302,0.2611993059502014,0.12445629713402297,2,-1.940622629225687,0.8216014702625065,Kinless
Ch 22,511,0.34066668152809143,-2.372857093811035,-6.170000076293945,0.9906732439994812,1,3.0,0.5870841487279843,1.9482758620689655,0.0015124016938898974,0.2711503023540692,0.1359240537615102,4,0.5797915412498541,0.8187395538149371,Kinless
Ch 32,480,0.3199999928474426,-1.9657708406448364,-3.7899999618530273,1.0379854440689087,0,,0.0,1.9310344827586206,0.0,0.27686300803148856,0.1308244393160455,5,-1.015195639470277,0.8247505823346516,Kinless
Ch 42,496,0.3306666612625122,-0.26756054162979126,-2.75,1.0143420696258545,1,3.0,0.6048387096774194,1.9655172413793103,0.0,0.2632591821765813,0.11909419709632908,5,0.9540984669197099,0.8190758435820994,Kinless
Ch 52,485,0.3233333230018616,-4.221072673797607,-7.25,0.938868522644043,0,,0.0,1.896551724137931,0.0,0.26651782489971615,0.1224370575454518,3,0.2757303153633256,0.8184040280170015,Kinless
Ch 62,492,0.328000009059906,-1.0407719612121582,-3.5799999237060547,0.9858295321464539,0,,0.0,1.9137931034482758,0.0,0.2714678205343812,0.13069816176933358,4,0.10665490514820956,0.8209240813181549,Kinless
Ch 72,426,0.2840000092983246,-0.9142722487449646,-2.7049999237060547,1.065644383430481,0,,0.0,1.8275862068965516,0.0,0.26486493417626056,0.11511042792275623,3,-1.004342105391318,0.8088235305811712,Kinless
Ch 82,518,0.3453333377838135,-3.0703284740448,-5.920000076293945,1.068194031715393,1,3.0,0.5791505791505791,1.9827586206896552,0.004537205081669692,0.26498364587301854,0.12117879253066237,0,0.2043239210006924,0.8259692440451323,Kinless
Ch 13,471,0.3140000104904175,-1.5349682569503784,-4.75,0.9460784792900085,0,,0.0,1.896551724137931,0.0,0.270534864809365,0.11898026864537918,4,-1.4263664410762156,0.8231443871474486,Kinless
Ch 23,498,0.3319999873638153,-0.449959933757782,-2.7899999618530273,1.0338858366012573,0,,0.0,1.9310344827586206,0.0015124016938898974,0.26482434018219736,0.13435304090080405,3,-0.03438156040791915,0.816658935694212,Kinless
Ch 33,508,0.3386666774749756,-0.1838974803686142,-4.5,1.1420644521713257,1,3.0,0.5905511811023622,2.0,0.0034785238959467637,0.2677858872976759,0.13217176314781776,2,0.06752009645664385,0.8170704698596749,Kinless
Ch 43,463,0.3086666762828827,2.5296545028686523,-3.75,0.9464542865753174,0,,0.0,1.879310344827586,0.0,0.2724788290305896,0.12061236931947432,0,-1.0035607702004576,0.8219278339811343,Kinless
Ch 53,492,0.328000009059906,1.8048169612884521,-0.5,1.011850357055664,0,,0.0,1.9482758620689655,0.0,0.2657293955909465,0.12280329397894914,5,-0.2693750705073191,0.8163690348903245,Kinless
Ch 63,428,0.2853333353996277,-1.2165653705596924,-3.5450000762939453,0.9338797926902771,0,,0.0,1.8103448275862069,0.0,0.2735926812565586,0.125779869913063,0,-1.9649001760318556,0.8186807220231883,Kinless
Ch 73,536,0.35733333230018616,-1.095503807067871,-1.875,1.0323137044906616,0,,0.0,2.0,0.008166969147005446,0.26554031681758306,0.1283855074160816,2,-0.12897511098957354,0.8188851866747204,Kinless
Ch 83,518,0.3453333377838135,-1.9111195802688599,-3.375,0.9874218702316284,0,,0.0,1.9310344827586206,0.00544464609800363,0.261804867719943,0.1304808798047871,5,0.4087899803298583,0.8202794335753395,Kinless
Ch 14,465,0.3100000023841858,-3.119312286376953,-4.670000076293945,1.0167210102081299,1,3.0,0.6451612903225806,1.879310344827586,0.0,0.26785543494541136,0.12031805573065597,3,-1.109236072317006,0.819027774702318,Kinless
Ch 24,506,0.3373333215713501,2.6827073097229004,0.4599999785423279,0.9636784195899963,1,3.0,0.592885375494071,1.896551724137931,0.0009074410163339384,0.266984928602713,0.12914162055017828,0,-0.3559147807333538,0.823394891365971,Kinless
Ch 34,458,0.30533334612846375,2.9739084243774414,1.6699999570846558,0.9712903499603271,0,,0.0,1.9137931034482758,0.0,0.27485500589649164,0.1369675175702357,3,-0.33368393672472374,0.8235278162443469,Kinless
Ch 44,435,0.28999999165534973,-0.2651037573814392,-3.0799999237060547,1.0225107669830322,0,,0.0,1.8103448275862069,0.00030248033877797946,0.2856634438133165,0.13293547561366778,1,-0.08044386524005204,0.81826689563177,Kinless
Ch 54,435,0.28999999165534973,-4.337103843688965,-5.920000076293945,1.0045216083526611,0,,0.0,1.879310344827586,0.0,0.276915327718471,0.12198042811831447,4,0.4222074513333805,0.8254534847374202,Kinless
Ch 64,467,0.3113333284854889,-0.9033617377281189,-5.670000076293945,0.9649149179458618,0,,0.0,1.896551724137931,0.0,0.27565125690474984,0.12057149253974725,0,0.7928182602792855,0.8094915592721241,Kinless
Ch 74,469,0.312666654586792,0.4749467074871063,-2.3299999237060547,1.0845470428466797,0,,0.0,1.879310344827586,0.0,0.2643558858063976,0.11869247178126256,5,0.2776269564647613,0.8231935206350094,Kinless
Ch 84,480,0.3199999928474426,-0.02235422097146511,-3.0850000381469727,1.0543404817581177,0,,0.0,1.9137931034482758,0.0,0.2889923132049492,0.13277262411492619,3,2.4093984440680973,0.8160112598824284,Kinless Hub
Ch 15,0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,Inactive
Ch 25,448,0.29866665601730347,-1.4064061641693115,-5.835000038146973,1.072880506515503,0,,0.0,1.879310344827586,0.0,0.27787150261302135,0.1264422595726741,0,0.7196004608951841,0.8160337272079115,Kinless
Ch 35,472,0.31466665863990784,-0.2903812825679779,-2.9600000381469727,1.0168789625167847,0,,0.0,1.9482758620689655,0.0,0.26029950986159767,0.11373135136462076,3,0.7714151270262425,0.8172044809214974,Kinless
Ch 45,433,0.28866666555404663,0.1970900595188141,-6.579999923706055,1.0170783996582031,0,,0.0,1.896551724137931,0.0,0.2791100927868149,0.14132866931943078,2,-0.9348503238856763,0.82387241193254,Kinless
Ch 55,765,0.5099999904632568,0.03858824446797371,-0.07999999821186066,0.9700019359588623,3,3.0,1.1764705882352942,2.0,0.013309134906231096,0.2736594881712627,0.13201712288553116,2,0.2384133321417552,0.8215228689625896,Kinless
Ch 65,417,0.27799999713897705,-1.747865915298462,-4.0,0.9747204184532166,0,,0.0,1.9482758620689655,0.0,0.2692444890175626,0.13074660441202937,2,-0.864508896217633,0.8204026699590394,Kinless
Ch 75,466,0.31066668033599854,-1.0503004789352417,-2.8299999237060547,1.0949501991271973,0,,0.0,1.879310344827586,0.0,0.27386723385320616,0.1332185802926875,5,-0.6329843992929816,0.8184026265119866,Kinless
Ch 85,484,0.3226666748523712,-0.5596075057983398,-3.5,1.0104072093963623,0,,0.0,1.896551724137931,0.0,0.26319175655884375,0.12500161135336366,1,-1.9971950803317249,0.8215586357766522,Kinless
Ch 16,421,0.28066667914390564,0.4900001585483551,-3.75,1.0479804277420044,0,,0.0,1.9310344827586206,0.0,0.26933328327938016,0.12488635785387804,5,-0.37109597822958584,0.8221110448732298,Kinless
Ch 26,504,0.335999995470047,-2.3484325408935547,-5.375,1.0019373893737793,0,,0.0,1.9655172413793103,0.0006049606775559589,0.26654507681672834,0.13318489481266443,0,-1.0920631451306657,0.8172103751199399,Kinless
Ch 36,437,0.2913333475589752,-3.8304574489593506,-6.0,1.027021884918213,0,,0.0,1.9137931034482758,0.0,0.2753035299800496,0.14169690104262841,1,0.268683918083762,0.8177469384623011,Kinless
Ch 46,419,0.27933332324028015,-3.4203579425811768,-4.670000076293945,0.9983493685722351,0,,0.0,1.879310344827586,0.0,0.287749231967177,0.14359551563219417,5,2.274906945983076,0.8077373443445487,Kinless Hub
Ch 56,764,0.5093333125114441,-0.9047250747680664,-1.2100000381469727,0.9579883217811584,4,3.0,1.5706806282722512,1.9827586206896552,0.01149425287356322,0.28624975146386183,0.14161428207303184,2,0.6864769431246863,0.8196520800843449,Kinless
Ch 66,795,0.5299999713897705,-0.2425786256790161,0.0,1.0580334663391113,3,3.3333333333333335,1.257861635220126,2.0,0.028130671506352088,0.28232696739899155,0.151246897800473,2,0.02907990303057382,0.8231162677885834,Kinless
Ch 76,434,0.2893333435058594,-1.0328575372695923,-3.625,0.9328665733337402,0,,0.0,1.8448275862068966,0.0009074410163339384,0.268863907242647,0.12506850801215758,4,0.4269740649730768,0.8268564096683202,Kinless
Ch 86,490,0.3266666531562805,-0.5618978142738342,-4.664999961853027,0.980578601360321,1,3.0,0.6122448979591837,1.9482758620689655,0.0,0.2668256908405799,0.11668309840280804,0,1.2151684470757835,0.8148197834150805,Kinless
Ch 17,401,0.26733332872390747,0.6997008919715881,-1.9199999570846558,0.9507451057434082,0,,0.0,1.879310344827586,0.0,0.2763953870848353,0.13686775057892497,3,-0.8153452871606197,0.8171016909406819,Kinless
Ch 27,486,0.3240000009536743,-1.5424073934555054,-3.0799999237060547,0.9287852644920349,0,,0.0,1.896551724137931,0.0,0.27605249721798036,0.14099955439426223,3,0.8228785702344203,0.8103179956421247,Kinless
Ch 37,450,0.30000001192092896,-2.205822229385376,-5.414999961853027,0.984824538230896,0,,0.0,1.9655172413793103,0.0,0.28131559520281973,0.14069257570137453,4,1.4033490489738956,0.826473087178172,Kinless
Ch 47,466,0.31066668033599854,1.5494848489761353,-1.5399999618530273,1.037069320678711,1,3.0,0.6437768240343348,1.9482758620689655,0.0,0.2711960656401123,0.12818868039557213,1,-0.056637834203304246,0.8153304029881923,Kinless
Ch 57,802,0.5346666574478149,-0.13663342595100403,-0.625,1.0160187482833862,0,,0.0,2.0,0.0574712643678161,0.2749823900810709,0.13994745520586496,2,0.43877467896819533,0.8158995299439333,Kinless
Ch 67,790,0.5266666412353516,-0.019367078319191933,0.0,1.0189666748046875,5,3.0,1.89873417721519,2.0,0.018148820326678767,0.27537018471195784,0.13863903736712155,2,0.47821879944935974,0.8116796981367322,Kinless
Ch 77,416,0.2773333191871643,-1.3832212686538696,-4.0,0.8813263773918152,0,,0.0,1.879310344827586,0.0,0.27422488778982484,0.12829832633801302,1,0.6252876173564234,0.822756199013308,Kinless
Ch 87,471,0.3140000104904175,-3.0961785316467285,-5.420000076293945,1.1082407236099243,0,,0.0,1.9137931034482758,0.0,0.27574989996936516,0.13205728160202498,0,0.8940470080942673,0.8208116164670424,Kinless
Ch 28,439,0.2926666736602783,0.28332576155662537,-2.5,0.9771524667739868,0,,0.0,1.9310344827586206,0.0,0.27458249830864484,0.13202214941023532,3,-0.06624595926536081,0.8159305448637912,Kinless
Ch 38,462,0.30799999833106995,0.3889608681201935,-2.8350000381469727,0.9605555534362793,0,,0.0,1.7758620689655171,0.0,0.27956271141339667,0.1299461526663053,5,-1.4073341002410547,0.8143855318917781,Kinless
Ch 48,457,0.304666668176651,-0.3918600082397461,-4.0,0.9288880228996277,1,3.0,0.6564551422319475,1.896551724137931,0.0,0.28151414569816074,0.1294424040415546,2,1.1272928625602106,0.8123089650890933,Kinless
Ch 58,756,0.5040000081062317,-0.2805555760860443,-0.375,1.0392332077026367,2,3.0,0.7936507936507936,2.0,0.01058681185722928,0.27725835621386474,0.1366086778586322,2,1.9902967826228881,0.8040547196608046,Kinless Hub
Ch 68,801,0.5339999794960022,-0.21304617822170258,-0.25,0.9785077571868896,4,3.0,1.4981273408239701,1.9655172413793103,0.022686025408348458,0.2858815695006758,0.1455467965158171,3,0.8917864470156807,0.8120259665753071,Kinless
Ch 78,782,0.5213333368301392,-0.10496162623167038,-0.21000000834465027,1.0221821069717407,3,3.0,1.1508951406649617,2.0,0.019056261343012706,0.2819522310776934,0.15290792364218264,1,1.2403052443348932,0.819802506913635,Kinless
