Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,485,0.6219543814659119,0.1791134476661682,16.40999984741211,1.104362964630127,2,3.0,1.2371134020618557,,,,,,,,Inactive
Ch 31,464,0.5950244069099426,-3.4279093742370605,-16.75,0.9577277302742004,2,3.0,1.293103448275862,,,,,,,,Inactive
Ch 41,419,0.5373173356056213,0.5179952383041382,16.40999984741211,1.075948715209961,1,3.0,0.7159904534606205,,,,,,,,Inactive
Ch 51,425,0.545011579990387,-3.3664000034332275,-16.5,1.0975306034088135,2,7.5,3.5294117647058822,,,,,,,,Inactive
Ch 61,458,0.587330162525177,-0.9845415949821472,-16.90999984741211,1.0229769945144653,2,7.5,3.2751091703056767,,,,,,,,Inactive
Ch 71,365,0.46806877851486206,-3.7700002193450928,-16.90999984741211,1.0211572647094727,1,3.0,0.821917808219178,,,,,,,,Inactive
Ch 12,578,0.7412157654762268,10.468356132507324,16.0,1.0193108320236206,1,3.0,0.5190311418685121,,,,,,,,Inactive
Ch 22,459,0.5886124968528748,-6.624031066894531,-16.5,0.9720348715782166,3,4.666666666666667,3.0501089324618738,,,,,,,,Inactive
Ch 32,545,0.6988972425460815,-0.6790643930435181,-19.579999923706055,0.9803992509841919,0,,0.0,,,,,,,,Inactive
Ch 42,485,0.6219543814659119,-4.516989707946777,-17.829999923706055,1.0047805309295654,3,3.0,1.8556701030927836,,,,,,,,Inactive
Ch 52,444,0.5693768262863159,-3.1206307411193848,-17.329999923706055,1.0787017345428467,1,3.0,0.6756756756756757,,,,,,,,Inactive
Ch 62,450,0.5770710706710815,-10.09184455871582,-18.0,1.0363532304763794,2,16.5,7.333333333333333,,,,,,,,Inactive
Ch 72,370,0.47448068857192993,-2.4261622428894043,-17.579999923706055,0.9949864149093628,1,3.0,0.8108108108108109,,,,,,,,Inactive
Ch 82,341,0.4372916519641876,2.028944253921509,17.65999984741211,0.9649272561073303,0,,0.0,,,,,,,,Inactive
Ch 13,474,0.6078482270240784,4.551794052124023,13.579999923706055,1.0416650772094727,2,3.0,1.2658227848101267,,,,,,,,Inactive
Ch 23,483,0.6193896532058716,2.3294410705566406,18.0,0.9594683051109314,0,,0.0,,,,,,,,Inactive
Ch 33,467,0.5988715887069702,-6.125674247741699,-17.40999984741211,0.9382374286651611,0,,0.0,,,,,,,,Inactive
Ch 43,412,0.5283406376838684,-4.473762512207031,-16.25,1.0115153789520264,1,4.0,0.9708737864077669,,,,,,,,Inactive
Ch 53,474,0.6078482270240784,6.988227844238281,16.829999923706055,0.9875684380531311,2,3.0,1.2658227848101267,,,,,,,,Inactive
Ch 63,419,0.5373173356056213,-6.837589740753174,-17.15999984741211,1.0653529167175293,0,,0.0,,,,,,,,Inactive
Ch 73,356,0.45652735233306885,2.6588761806488037,17.790000915527344,1.0030510425567627,0,,0.0,,,,,,,,Inactive
Ch 83,388,0.49756351113319397,2.7446393966674805,18.290000915527344,1.028583288192749,0,,0.0,,,,,,,,Inactive
Ch 14,431,0.5527058839797974,-6.6847333908081055,-14.079999923706055,1.0692954063415527,1,3.0,0.6960556844547563,,,,,,,,Inactive
Ch 24,480,0.6155425310134888,8.644771575927734,15.15999984741211,0.9852609038352966,1,3.0,0.625,,,,,,,,Inactive
Ch 34,562,0.7206977009773254,11.467883110046387,14.40999984741211,0.9871637225151062,2,3.0,1.0676156583629894,,,,,,,,Inactive
Ch 44,351,0.450115442276001,-5.184472560882568,-14.65999984741211,0.9627255797386169,1,3.0,0.8547008547008548,,,,,,,,Inactive
Ch 54,295,0.3783021569252014,5.388000011444092,14.65999984741211,1.0188919305801392,2,3.0,2.0338983050847457,,,,,,,,Inactive
Ch 64,345,0.44242116808891296,-0.881652295589447,-15.90999984741211,1.0279786586761475,0,,0.0,,,,,,,,Inactive
Ch 74,385,0.49371638894081116,-8.54514217376709,-16.90999984741211,1.0779012441635132,0,,0.0,,,,,,,,Inactive
Ch 84,339,0.43472689390182495,1.379793643951416,17.5,1.0574657917022705,0,,0.0,,,,,,,,Inactive
Ch 15,0,0.0,,,,0,,0.0,,,,,,,,Inactive
Ch 25,456,0.5847653746604919,3.158311605453491,15.90999984741211,0.9865630865097046,2,3.5,1.5350877192982455,,,,,,,,Inactive
Ch 35,451,0.5783534646034241,4.624012470245361,15.25,1.061780333518982,0,,0.0,,,,,,,,Inactive
Ch 45,347,0.44498592615127563,6.106513023376465,14.40999984741211,0.9101250767707825,1,3.0,0.8645533141210375,,,,,,,,Inactive
Ch 55,464,0.5950244069099426,-3.8361639976501465,-9.829999923706055,1.0386245250701904,2,3.0,1.293103448275862,,,,,,,,Inactive
Ch 65,310,0.39753785729408264,-11.835000038146973,-14.90999984741211,1.0126333236694336,0,,0.0,,,,,,,,Inactive
Ch 75,209,0.2680174708366394,-1.3365070819854736,-14.40999984741211,1.1798732280731201,0,,0.0,,,,,,,,Inactive
Ch 85,160,0.2051808387041092,1.6558125019073486,15.0,1.0456396341323853,0,,0.0,,,,,,,,Inactive
Ch 16,451,0.5783534646034241,-0.5153435468673706,-15.40999984741211,1.0140177011489868,2,3.0,1.3303769401330376,,,,,,,,Inactive
Ch 26,561,0.7194153070449829,6.413975238800049,15.829999923706055,1.090393304824829,4,7.0,4.991087344028521,,,,,,,,Inactive
Ch 36,427,0.547576367855072,-0.6423654556274414,-16.25,1.004848837852478,0,,0.0,,,,,,,,Inactive
Ch 46,466,0.5975891947746277,4.790493965148926,16.079999923706055,0.9977222084999084,3,3.0,1.9313304721030045,,,,,,,,Inactive
Ch 56,1051,1.3477816581726074,-9.320799827575684,-10.079999923706055,0.9825003147125244,12,3.0833333333333335,3.5204567078972406,,,,,,,,Inactive
Ch 66,528,0.6770967841148376,-4.858560562133789,-9.90999984741211,0.9796356558799744,2,3.5,1.3257575757575757,,,,,,,,Inactive
Ch 76,206,0.2641703188419342,2.3629610538482666,14.829999923706055,1.2006272077560425,0,,0.0,,,,,,,,Inactive
Ch 86,184,0.23595796525478363,7.329130172729492,15.15999984741211,1.0658103227615356,0,,0.0,,,,,,,,Inactive
Ch 17,555,0.7117210030555725,6.868252277374268,15.829999923706055,1.0022077560424805,1,3.0,0.5405405405405406,,,,,,,,Inactive
Ch 27,431,0.5527058839797974,3.6825292110443115,16.079999923706055,1.189809799194336,1,3.0,0.6960556844547563,,,,,,,,Inactive
Ch 37,511,0.655296266078949,-3.241956949234009,-18.579999923706055,0.9851699471473694,0,,0.0,,,,,,,,Inactive
Ch 47,804,1.0310337543487549,15.043322563171387,16.90999984741211,1.0157861709594727,6,3.1666666666666665,2.36318407960199,,,,,,,,Inactive
Ch 57,518,0.6642729640007019,-0.8713899850845337,-9.75,0.9816108345985413,2,3.0,1.1583011583011582,,,,,,,,Inactive
Ch 67,478,0.6129777431488037,0.5287238955497742,9.75,1.035986065864563,2,3.0,1.2552301255230125,,,,,,,,Inactive
Ch 77,373,0.47832781076431274,-5.742171764373779,-16.90999984741211,1.0182833671569824,1,13.0,3.485254691689008,,,,,,,,Inactive
Ch 87,304,0.38984358310699463,-11.08286190032959,-17.0,0.9865507483482361,1,8.0,2.631578947368421,,,,,,,,Inactive
Ch 28,418,0.5360349416732788,1.5451195240020752,15.0,0.9935507774353027,2,3.0,1.4354066985645932,,,,,,,,Inactive
Ch 38,413,0.5296230316162109,2.1439950466156006,15.5,0.9680488109588623,0,,0.0,,,,,,,,Inactive
Ch 48,566,0.7258272171020508,13.172650337219238,16.40999984741211,1.049622654914856,8,3.0,4.240282685512367,,,,,,,,Inactive
Ch 58,512,0.6565786600112915,-3.760371208190918,-9.829999923706055,0.9716684222221375,1,3.0,0.5859375,,,,,,,,Inactive
Ch 68,534,0.6847910284996033,-4.19393253326416,-9.90999984741211,1.0221055746078491,2,3.5,1.3108614232209739,,,,,,,,Inactive
Ch 78,481,0.6168248653411865,0.9120582342147827,9.75,0.9800261855125427,0,,0.0,,,,,,,,Inactive
