Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,337,0.4321621358394623,-1.2160533666610718,-3.75,1.101561188697815,1,3.0,0.8902077151335311,1.8620689655172413,0.0,0.2683465716482388,0.14653455030617843,0,-1.4021594387688772,0.7156846921381107,Connector
Ch 31,315,0.4039497673511505,-2.1428253650665283,-4.829999923706055,1.0853619575500488,2,3.0,1.9047619047619049,1.6896551724137931,0.0,0.26735572240756006,0.1114518008657703,1,-0.023021682753761666,0.6995719862009743,Connector
Ch 41,309,0.3962554931640625,-1.6104854345321655,-4.420000076293945,1.0536128282546997,1,3.0,0.9708737864077669,1.8448275862068966,0.0,0.2614676871685859,0.12152594622930152,1,0.3800309887510212,0.7001207958830786,Connector
Ch 51,326,0.4180559515953064,-1.613067626953125,-4.789999961853027,1.0749150514602661,0,,0.0,1.8103448275862069,0.0,0.26436740259228764,0.12083196807704392,1,0.037703096896594776,0.7102307359997353,Connector
Ch 61,284,0.36419597268104553,-2.254859209060669,-5.829999923706055,0.9758417010307312,0,,0.0,1.8620689655172413,0.0,0.2760825270949958,0.12243372934972604,3,0.3781985978504383,0.7211635586640099,Connector
Ch 71,293,0.37573739886283875,-2.104539155960083,-5.5,1.0356816053390503,2,3.0,2.04778156996587,1.7241379310344827,0.0,0.26760238566633016,0.12732723420429018,2,-1.5510087521433205,0.7114250928383482,Connector
Ch 12,331,0.42446786165237427,-0.08353476971387863,-2.5799999237060547,1.0683767795562744,1,3.0,0.906344410876133,1.7758620689655171,0.0007562008469449487,0.26216322414236215,0.12374019953262849,0,0.6064416881418516,0.7056119694436244,Connector
Ch 22,379,0.48602211475372314,-1.3482587337493896,-3.75,0.9613670110702515,2,3.0,1.58311345646438,1.9310344827586206,0.013611615245009076,0.26038877792834075,0.12248684457583527,1,-0.22019211517247822,0.7268986609979395,Connector
Ch 32,361,0.4629392623901367,-0.9261772036552429,-3.25,0.9758408069610596,0,,0.0,1.9482758620689655,0.0060496067755595895,0.259498153684566,0.1277900431016132,0,-1.150890599459439,0.7142323992712234,Connector
Ch 42,313,0.40138500928878784,-1.3084982633590698,-4.079999923706055,0.9076647758483887,0,,0.0,1.8103448275862069,0.0,0.26929183716182387,0.11716607159906134,3,0.8995636947270037,0.7316914901054767,Connector
Ch 52,352,0.4513978362083435,-1.5765907764434814,-4.204999923706055,1.0059688091278076,1,4.0,1.1363636363636365,1.8620689655172413,0.00544464609800363,0.2521870749417145,0.12386673158667647,1,-0.5181977252521073,0.7025535204391742,Connector
Ch 62,325,0.41677355766296387,-1.7486153841018677,-4.420000076293945,1.0356206893920898,0,,0.0,1.7758620689655171,0.0,0.27168662522208004,0.11905587151837746,2,0.3345056541943815,0.7387112193364473,Connector
Ch 72,337,0.4321621358394623,-1.8624333143234253,-5.0,0.9951905608177185,2,4.5,2.6706231454005933,1.9137931034482758,0.0009074410163339384,0.25890419987330704,0.1280796737912658,1,-0.6959788865936453,0.717421396307743,Connector
Ch 82,313,0.40138500928878784,-2.319648504257202,-6.0,0.9636147618293762,0,,0.0,1.896551724137931,0.0,0.26021215762641975,0.12478606662337692,1,-0.6834165003005758,0.7254203783158754,Connector
Ch 13,292,0.3744550347328186,-1.5286986827850342,-4.25,0.9564485549926758,0,,0.0,1.7758620689655171,0.0,0.2707207633928215,0.1325514263164694,3,-1.737535851488634,0.7217997848796778,Connector
Ch 23,318,0.4077969193458557,-1.1730501651763916,-3.9149999618530273,1.0992708206176758,0,,0.0,1.896551724137931,0.0,0.27123566295623347,0.12660206956576195,1,0.6830826393312024,0.7207474366870864,Connector
Ch 33,305,0.39112597703933716,-2.007999897003174,-4.329999923706055,1.1127692461013794,0,,0.0,1.8275862068965516,0.0,0.27127021187834693,0.14411428605772075,3,-1.7850758066738506,0.7234665704041169,Connector
Ch 43,302,0.38727882504463196,-1.9196356534957886,-4.710000038146973,0.9063477516174316,0,,0.0,1.879310344827586,0.0,0.27267379819796533,0.13564247655005499,0,-1.0684247932759867,0.7331418177818514,Connector
Ch 53,314,0.40266740322113037,-0.5855732560157776,-4.0,1.035492181777954,3,3.0,2.8662420382165608,1.8620689655172413,0.0,0.26865505257870204,0.13490382035433537,0,-0.6915684424489525,0.7188453390188874,Connector
Ch 63,305,0.39112597703933716,-2.530458927154541,-5.5,0.9554470777511597,0,,0.0,1.879310344827586,0.0,0.26630815080950976,0.12428360341608616,1,-0.6467012912157054,0.7296436449874115,Connector
Ch 73,328,0.42062070965766907,-2.0064938068389893,-5.829999923706055,1.015455961227417,1,3.0,0.9146341463414633,1.9310344827586206,0.0,0.25983515895129916,0.12612464920829317,0,-0.3127165215631456,0.7171031412737195,Connector
Ch 83,305,0.39112597703933716,-1.6145573854446411,-5.170000076293945,1.0361651182174683,1,3.0,0.9836065573770493,1.7586206896551724,0.0,0.2653265021899537,0.11813448199335544,0,-0.5611147168586472,0.710929663723787,Connector
Ch 14,284,0.36419597268104553,-1.4432041645050049,-3.6700000762939453,0.9697157740592957,0,,0.0,1.706896551724138,0.0,0.2819289403019174,0.14097984541826858,1,-1.8743500013893455,0.7356621052692629,Connector
Ch 24,329,0.4219031035900116,-1.2454407215118408,-3.6700000762939453,1.1086064577102661,1,3.0,0.911854103343465,1.896551724137931,0.0,0.27482086532924005,0.14130865390408448,3,1.5377220850323374,0.7293877452387765,Connector Hub
Ch 34,312,0.4001026153564453,-0.1786217987537384,-2.4200000762939453,0.9956325888633728,1,3.0,0.9615384615384616,1.896551724137931,0.0,0.2693841625404379,0.12490340337502047,0,1.4573545420730742,0.722657000958618,Connector
Ch 44,288,0.3693254888057709,-1.86885404586792,-4.5,0.9073084592819214,0,,0.0,1.8620689655172413,0.0,0.27099756837153344,0.14152476991957547,0,-0.3930551781361914,0.7208333677879621,Connector
Ch 54,282,0.36163121461868286,-1.2491134405136108,-3.7899999618530273,1.017920732498169,2,3.0,2.127659574468085,1.8620689655172413,0.0,0.2724161134524253,0.1299938852157105,1,0.4004483357808555,0.7126381791542173,Connector
Ch 64,326,0.4180559515953064,-1.5203067064285278,-4.585000038146973,1.0627009868621826,1,3.0,0.9202453987730062,1.9310344827586206,0.00030248033877797946,0.2613407283853427,0.12683330502520232,3,0.5643222580517295,0.7195946113576835,Connector
Ch 74,328,0.42062070965766907,-2.632012367248535,-6.039999961853027,1.0347492694854736,0,,0.0,1.8448275862068966,0.0,0.2657192803298215,0.11676637378563652,3,0.5825092546221073,0.707909944597731,Connector
Ch 84,316,0.40523216128349304,-1.4783544540405273,-4.585000038146973,0.9720799922943115,0,,0.0,1.879310344827586,0.0,0.26522335481168874,0.124584548936803,3,-0.13360337884221501,0.7338767679539302,Connector
Ch 15,0,0.0,,,,0,,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,Inactive
Ch 25,339,0.43472689390182495,-1.1784071922302246,-3.6700000762939453,1.0214639902114868,0,,0.0,1.9482758620689655,0.0018148820326678767,0.2627309932050046,0.12079483950100427,0,0.06885665285722262,0.7238756109649768,Connector
Ch 35,310,0.39753785729408264,-0.9810000658035278,-3.4149999618530273,1.1195366382598877,0,,0.0,1.8620689655172413,0.0,0.2633563905898748,0.12825274644536708,2,-0.7593301210392936,0.72692642842779,Connector
Ch 45,314,0.40266740322113037,-2.3718788623809814,-4.875,0.9485893845558167,1,3.0,0.9554140127388535,1.9137931034482758,0.0,0.26193504478947316,0.1251982695200679,0,-0.13187320955930962,0.7277660454499582,Connector
Ch 55,567,0.7271096110343933,-0.40567898750305176,-0.9200000166893005,0.9696804881095886,4,3.25,2.2927689594356258,2.0,0.01088929219600726,0.2583757947118328,0.1434583959044015,2,-0.06798993153251247,0.7233691908637938,Connector
Ch 65,327,0.4193383455276489,-2.673272132873535,-5.5,1.0378217697143555,0,,0.0,1.8103448275862069,0.0,0.27143842276452007,0.1312379312462757,2,-1.3354514452289659,0.7221463672398521,Connector
