Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,946,0.7883990406990051,5.751807689666748,16.25,1.041966438293457,7,3.0,2.2198731501057085,,,,,,,,Inactive
Ch 31,989,0.8242353200912476,4.854378700256348,15.90999984741211,1.048587679862976,3,3.3333333333333335,1.0111223458038423,,,,,,,,Inactive
Ch 41,969,0.807567298412323,5.542074680328369,16.15999984741211,0.9913755059242249,4,3.25,1.3415892672858616,,,,,,,,Inactive
Ch 51,788,0.6567213535308838,1.7163070440292358,15.90999984741211,1.0099917650222778,2,3.0,0.7614213197969544,,,,,,,,Inactive
Ch 61,805,0.6708891987800598,2.5406711101531982,16.90999984741211,0.9858725666999817,3,4.0,1.4906832298136645,,,,,,,,Inactive
Ch 71,821,0.6842236518859863,0.44690632820129395,16.40999984741211,0.9841145277023315,1,3.0,0.3654080389768575,,,,,,,,Inactive
Ch 12,1527,1.2726060152053833,12.674263954162598,15.90999984741211,1.088646650314331,28,3.2142857142857144,5.893909626719057,,,,,,,,Inactive
Ch 22,888,0.7400616407394409,1.436306357383728,15.90999984741211,1.0750322341918945,4,3.25,1.4639639639639639,,,,,,,,Inactive
Ch 32,877,0.7308942079544067,6.862713813781738,20.25,0.9989065527915955,6,3.3333333333333335,2.280501710376283,,,,,,,,Inactive
Ch 42,885,0.7375614643096924,-0.12366081029176712,-16.90999984741211,1.0582225322723389,2,13.0,2.937853107344633,,,,,,,,Inactive
Ch 52,871,0.7258937954902649,2.484776020050049,16.40999984741211,1.031168818473816,6,3.3333333333333335,2.2962112514351323,,,,,,,,Inactive
Ch 62,841,0.7008917331695557,-6.0985493659973145,-16.579999923706055,0.9875974655151367,5,3.0,1.78359096313912,,,,,,,,Inactive
Ch 72,867,0.7225602269172668,2.128535032272339,16.579999923706055,1.0475194454193115,7,4.857142857142857,3.9215686274509802,,,,,,,,Inactive
Ch 82,881,0.7342278361320496,5.80737829208374,16.829999923706055,1.0770866870880127,6,9.166666666666666,6.242905788876277,,,,,,,,Inactive
Ch 13,948,0.7900658249855042,8.593618392944336,13.579999923706055,1.1491113901138306,11,3.0,3.481012658227848,,,,,,,,Inactive
Ch 23,908,0.7567297220230103,6.551476001739502,18.65999984741211,1.1130719184875488,6,3.0,1.9823788546255507,,,,,,,,Inactive
Ch 33,851,0.7092257738113403,0.8750413060188293,17.40999984741211,1.0226713418960571,9,3.111111111111111,3.290246768507638,,,,,,,,Inactive
Ch 43,1000,0.8334027528762817,-1.6114996671676636,-15.454999923706055,1.3183050155639648,11,19.818181818181817,21.8,,,,,,,,Inactive
Ch 53,1107,0.9225768446922302,10.38339614868164,16.5,1.0520576238632202,8,3.25,2.3486901535682025,,,,,,,,Inactive
Ch 63,805,0.6708891987800598,-2.558074474334717,-16.079999923706055,1.0790528059005737,3,3.0,1.1180124223602486,,,,,,,,Inactive
Ch 73,908,0.7567297220230103,7.196751594543457,16.90999984741211,1.0392192602157593,4,8.25,3.634361233480176,,,,,,,,Inactive
Ch 83,970,0.8084006905555725,9.60429859161377,17.25,1.0609031915664673,5,3.2,1.6494845360824744,,,,,,,,Inactive
Ch 14,914,0.7617301344871521,-3.4358205795288086,-13.5,1.0562351942062378,6,3.3333333333333335,2.1881838074398248,,,,,,,,Inactive
Ch 24,1270,1.0584214925765991,10.943645477294922,15.0,1.0304839611053467,10,3.2,2.5196850393700787,,,,,,,,Inactive
Ch 34,1789,1.490957498550415,12.877457618713379,13.90999984741211,1.0669887065887451,37,3.2972972972972974,6.8194522079373945,,,,,,,,Inactive
Ch 44,903,0.7525627017021179,1.4125028848648071,13.90999984741211,1.0534977912902832,2,3.5,0.7751937984496124,,,,,,,,Inactive
Ch 54,962,0.8017334342002869,7.904583930969238,14.454999923706055,0.9949370622634888,5,3.2,1.6632016632016633,,,,,,,,Inactive
