Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 21,443,0.36919742822647095,-0.4277201294898987,-1.8300000429153442,0.9925219416618347,0,,0.0,1.9310344827586206,0.0,0.18331022792835805,0.1377279098377932,1,-1.3549584220659336,0.7265789528275044,Connector
Ch 31,462,0.3850320875644684,-0.5227488875389099,-2.2899999618530273,1.0804152488708496,2,3.0,1.2987012987012987,1.9655172413793103,0.0,0.18374242166921925,0.13968507608287076,1,0.11595691435634174,0.7215288411636358,Connector
Ch 41,478,0.3983665108680725,-0.3691631853580475,-1.8300000429153442,1.0761158466339111,1,3.0,0.6276150627615062,1.9137931034482758,0.00030248033877797946,0.17565145788708908,0.12953579110675814,1,-2.562383889882691,0.7370457941484776,Connector
Ch 51,434,0.3616968095302582,-1.0603686571121216,-3.6700000762939453,1.0064080953598022,0,,0.0,1.9482758620689655,0.0,0.18515147723177514,0.13836160990468852,1,0.07626489325509628,0.7211608402365122,Connector
Ch 61,437,0.3641970157623291,-0.5626315474510193,-3.5,0.9324218034744263,2,3.0,1.3729977116704806,1.9310344827586206,0.0,0.18393826532304117,0.13563757499603174,0,-1.0369395156095318,0.7250034834712868,Connector
Ch 71,452,0.3766980469226837,-0.9527655243873596,-3.5,1.0082639455795288,0,,0.0,1.9310344827586206,0.0,0.18489559845649106,0.13429819493718256,1,0.07944960742853693,0.7248011080789207,Connector
Ch 12,447,0.3725310266017914,0.04530202969908714,-1.4199999570846558,1.0507428646087646,2,3.0,1.342281879194631,1.9310344827586206,0.0,0.17821424714954848,0.12274614846263744,0,-1.9762372211986576,0.7112141694995956,Connector
Ch 22,462,0.3850320875644684,-1.0070995092391968,-2.9200000762939453,0.9734159111976624,0,,0.0,1.9827586206896552,0.00030248033877797946,0.1714812347593327,0.12379957500852917,2,-1.1396076159166324,0.7239212716655308,Connector
Ch 32,483,0.40253353118896484,-0.2627536356449127,-1.25,0.983592689037323,0,,0.0,1.879310344827586,0.0015124016938898974,0.17735005544373636,0.11234507992523676,2,0.18082170559683952,0.7107665564790429,Connector
Ch 42,461,0.3841986656188965,-1.50672447681427,-4.75,0.9810537099838257,2,3.5,1.5184381778741864,1.9482758620689655,0.0,0.17489901961856552,0.12569072930942807,0,-0.4234485364348502,0.7002319218602011,Connector
Ch 52,470,0.39169931411743164,-1.4170212745666504,-4.420000076293945,1.022672414779663,2,3.5,1.4893617021276597,1.9655172413793103,0.00030248033877797946,0.17988826687321913,0.1336423179706687,1,-0.6407750116195883,0.7307468058338628,Connector
Ch 62,496,0.41336777806282043,-1.7186088562011719,-3.9600000381469727,1.1765327453613281,1,3.0,0.6048387096774194,1.9827586206896552,0.009679370840895343,0.17793849256469668,0.12820459117349128,3,-0.9460420477341812,0.71890886281364,Connector
Ch 72,462,0.3850320875644684,0.06606064736843109,-0.8350000381469727,1.0846779346466064,2,3.0,1.2987012987012987,1.9137931034482758,0.0,0.1767115867968889,0.1166720304121427,3,-0.3085068355026116,0.7299504122740464,Connector
Ch 82,406,0.338361531496048,-0.5778325200080872,-3.5,1.063545823097229,1,3.0,0.7389162561576355,1.9655172413793103,0.0,0.17971286427871863,0.1383669107449231,3,-0.950544232251254,0.7139878718422877,Connector
Ch 13,415,0.34586215019226074,-0.3496626615524292,-2.75,0.9357005953788757,0,,0.0,1.9310344827586206,0.0,0.19465822051644732,0.14823719850967768,0,0.4707814441891166,0.7234583227689179,Connector
Ch 23,486,0.40503373742103577,-0.5712345838546753,-2.0850000381469727,1.0573053359985352,0,,0.0,1.9655172413793103,0.005142165759225651,0.17926890615511987,0.135083328244842,3,-1.4741043729404688,0.7122374113588039,Connector
Ch 33,492,0.4100341498851776,-0.6628861427307129,-2.25,0.9441356658935547,0,,0.0,1.9655172413793103,0.006957047791893527,0.17420018619361036,0.11975908820424164,1,-0.2117096363533657,0.7178006223928344,Connector
